127.0.0.1 - - [11/Dec/2017:15:11:19 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/main.html HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/modules/sys/dept.html HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/statics/js/modules/sys/dept.js?_1512976352907 HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/sys/dept/info?_=1512976352928 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:33 +0800] "GET /renren-security/sys/dept/list?_=1512976352929 HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:35 +0800] "GET /renren-security/modules/sys/role.html HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:35 +0800] "GET /renren-security/statics/js/modules/sys/role.js?_1512976355214 HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:35 +0800] "GET /renren-security/sys/role/list?_search=false&nd=1512976355287&limit=10&page=1&sidx=&order=asc&_=1512976355240 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:39 +0800] "GET /renren-security/modules/gen/generator.html HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:39 +0800] "GET /renren-security/statics/js/modules/gen/generator.js?_1512976359729 HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:39 +0800] "GET /renren-security/sys/generator/list?_search=false&nd=1512976359789&limit=10&page=1&sidx=&order=asc&_=1512976359758 HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:45 +0800] "GET /renren-security/sys/generator/code?tables=[%22qrtz_locks%22] HTTP/1.1" 200 6759
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:14:18 +0800] "GET /renren-security/sys/generator/code?tables=[%22qrtz_scheduler_state%22] HTTP/1.1" 200 7301
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:15:20 +0800] "GET /renren-security/sys/generator/list?_search=false&nd=1512976520414&limit=10&page=2&sidx=&order=asc&_=1512976359759 HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:15:24 +0800] "GET /renren-security/sys/generator/list?_search=false&nd=1512976524638&limit=10&page=1&sidx=&order=asc&_=1512976359760 HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:15:25 +0800] "GET /renren-security/sys/generator/list?_search=false&nd=1512976525918&limit=10&page=2&sidx=&order=asc&_=1512976359761 HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:15:28 +0800] "GET /renren-security/sys/generator/code?tables=[%22sys_role_menu%22] HTTP/1.1" 200 7130
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:22:03 +0800] "GET /renren-security/modules/sys/menu.html HTTP/1.1" 200 5263
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:22:03 +0800] "GET /renren-security/statics/js/modules/sys/menu.js?_1512976923601 HTTP/1.1" 200 6342
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:22:03 +0800] "GET /renren-security/sys/menu/list?_=1512976923653 HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:22:07 +0800] "GET /renren-security/sys/menu/select?_=1512976923654 HTTP/1.1" 200 2263
